,Unnamed: 0,Key,MusicalKey,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
23042,23042,1,Db,0.37,2016,0.007759999999999999,"['Drake', 'WizKid', 'Kyla']",0.792,173987,0.625,0,1zi7xx7UVEFkmKfv06H8x0,0.0018,0.329,-5.609,1,One Dance,81,2016-05-06,0.0536,103.967
23044,23044,1,Db,0.199,2016,0.7020000000000001,['Hippie Sabotage'],0.391,131272,0.396,0,7MiZjKawmXTsTNePyTfPyL,0.405,0.315,-8.621,0,Devil Eyes,81,2016-02-05,0.189,99.112
23061,23061,1,Db,0.421,2017,0.000282,['Kendrick Lamar'],0.908,177000,0.621,1,7KXjTSCq5nL1LoYtL7XAwS,5.39e-05,0.0958,-6.638,0,HUMBLE.,82,2017-04-14,0.102,150.011
23062,23062,1,Db,0.394,2017,0.199,['Khalid'],0.7979999999999999,202547,0.539,0,5Z3GHaZ6ec9bsiI5BenrbY,1.66e-05,0.165,-6.351,1,Young Dumb & Broke,81,2017-04-27,0.0421,136.94899999999998
23064,23064,1,Db,0.326,2017,0.33,['Khalid'],0.736,219080,0.449,0,152lZdxL1OR0ZMW6KquMif,0.000162,0.0898,-11.462,0,Location,80,2017-04-27,0.425,80.126
23065,23065,1,Db,0.349,2017,0.259,['XXXTENTACION'],0.763,126346,0.726,1,7floNISpH8VF4z4459Qo18,0.0,0.0976,-6.405,1,Look At Me!,82,2017-02-20,0.282,139.059
23069,23069,1,Db,0.931,2017,0.581,['Ed Sheeran'],0.825,233713,0.652,0,7qiZfU4dY1lWllzX7mPBI3,0.0,0.0931,-3.1830000000000003,0,Shape of You,85,2017-03-03,0.0802,95.977
23087,23087,1,Db,0.389,2018,0.0852,"['Lil Baby', 'Gunna']",0.897,145543,0.662,1,78QR3Wp35dqAhFEc2qAGjE,0.0,0.534,-6.903,0,Drip Too Hard (Lil Baby & Gunna),82,2018-10-05,0.292,112.511
23088,23088,1,Db,0.237,2018,0.0414,['Juice WRLD'],0.665,175755,0.6509999999999999,1,3oDkdAySo1VQQG0ptV7uwa,0.0,0.0896,-5.515,1,Lean Wit Me,81,2018-12-10,0.156,163.935
23089,23089,1,Db,0.8029999999999999,2018,0.66,"['Social House', 'Lil Yachty']",0.769,164640,0.479,0,2Yer0p7uB2lVBUAtANuuQp,0.0,0.0914,-5.339,1,Magic In The Hamptons (feat. Lil Yachty),80,2018-06-08,0.0385,96.051
